Note,English,Reference,Present-base,Prefix,Suffix,I,we,we two,you ,you two,you all,he/she/it,those two,they,it,the act itself,to be
,acted,,'aa-dvn,(separated by space),,'aa-ghii-dvn,'aa-ghit-dvn,,'aa-ghii~-dvn,,'aa-ghu'-dvn,'aa-ghii~-dvn,,'aa-ghast-dvn,,,
,admired,liked,,,,,,,,,,,,,,,
,admitted,talked,lhvn-xuu,,,na'-sii-'an,naa-saa-ghit-'an,,na'-sii~-'an',,naa-su'-'an',na's-'an',,naa-gha's-'an',,,
,alighted,,,,,num-nii-t'a,num-nit-t'a,,num-nin-t'a,,num-nu'-t'a,nuii-nin-t'a,,xwii-nuii-nin-t'a,,,
,altered,,shtvn,,,silh-sri~,saa-ghitlh-sri~,,sintlh-sri~,,sutlh-sri~,yvstlh-sri~,,xee-yvstlh-sri~,,,
"Word doc lists entries for ""I"" and ""I was""",arrested*,,,,,nar'sh-trintlh-chut,xwii-na'-nitlh-t'e nar'sh-'itlh-chut,,nar'sh-'intlh-chut,,xwii-nutlh-t'e nar'sh-'intlh-chut,nar'sh-trintlh-chut,,xwii-nar'sh-trintlh-chut,,,
,ascended,,,,,see-ghee-ya,see-ghitlh-xat,,see-naa~-ya,,see-ghutlh-xat,see-ghaa~-ya,,xwii-see-ghaa~-ya,,,
,asked,,,,,'aa-wilh-xvt,'aa-witlh-xvt,,'aa-wintlh-xvt,,'aa-ghutlh-xvt,yuu-destlh-xvt,,xee-yuu-destlh-xvt,,,
,ate,,,,,ch'ghee-yan',ch'ghaa-ghit-gan',ch'ghit-gan',ch'ghaa~-ya,,ch'ghu'-gan',ch'ghaa~-yan',yaa-ch'ghas-yan',xwii-yaa-ch'ghas-yan',,,
,banged an object,,,,,nuu-nilh-k'vs,num-saa-ghitlh-k'vs,,num-ninlh-k'vs,,num-sutlh-k'vs,nuii-ninlh-k'vs,,xee-nuii-ninlh-k'vs,,,
,barked,,,,,dee-svst-nin',dee-sit-nin',,dee-sint-nin',,dee-su'-nin',dest-nin',,dee-ghast-nin',,,
,bathed,,,,,na'-dgvsht-t'u,na'-dghit-t'u,,na'-dghin-t'u,,na'-dghut-t'u,na'-dghvt-t'u,,xwii-na'-dghvt-t'u,,,
,bathed a person or animal,,,,,naa-svstlh-me',naa-sitlh-me',,naa-sintlh-me',,naa-sutlh-me',nastlh-me',,naa-ghastlh-me',,,
"Word doc lists entries for ""he/she/it"" and ""it""",beached or landed a canoe*,,,,,see-ghii-xvsh,see-ghit-xvsh,,see-ghin-xvsh,,see-ghu'-xvsh,sant-xvsh or see-ghin-xvsh,,see-nii~-xvsh,,,
,became,,,,,sii-li~,naa-sit-li~,,sii~-li~,,naa-su'-li~,sli~',,yas-li~ / yaa-ghas-li~ / naa-ghast-li~,nast-li~,,
,went to bed,,,,,nee-sii-tin',nee-saa-ghit-tin',nee-sit-tin',nee-sii~-tin',,nee-su'-tin',nes-tin',,nee-ghas-tin',,,
,believed,,,,,waa-silh-'an',waa-saa-ghitlh-'an',,waa-sintlh-'an',,waa-sutlh-'an',waa-yvstlh-'an',,waa-xee-yvstlh-'an',,,
,called the bet,,,,,mee-ghilh-k'wvt,mee-ghitlh-k'wvt,,mee-ghintlh-k'wvt,,mee-ghutlh-k'wvt,mee-ghintlh-k'wvt,,xee-mee-ghintly-k'wvt,,,
,gave birth,,,,,num'-nii-lhti~',num'-nitlh-ti~',,num'-nii~lh-tin',,num'-nu'lh-tin',nuii-nii~lh-ti',,xee-nuii-nii~lh-ti',,,
,bit,,,,,dee-ghvsht-ne,mee-ghit-ne,,mee-ghint-ne,,xee-ghu'-ne,yee-ghvt-ne,,xee-yee-ghvt-ne,,,
,was bitten,,,,,shee-ghvt-ne,nuu-xwee-ghvt-ne,,nee-ghut-ne,,xwii-nutlh-t'e dee-ghvt-ne,dee-ghvt-ne,,xwii-nee dee-ghvt-ne,,,
,bled,flowed (tr'ee-ghas~-li~'),,"XX-dee-le' (""[person's] blood"")",,,,,,,,,,,,dee-le' tree-ghas~-li~',
,blew off,,,,,ch'an-nilh-yalh,ch'an-nitlh-yalh,,ch'an-nintlh-yalh,,ch'an-nutlh-yalh,ch'antlh-yalh,,xwii-ch'antlh-yalh,,,
,bloomed,,,,,,,,,,,tr'ee-ghast-nvlh,,,,,
,bloomed,,,,,,,,,,,tr'ant-nvlh,,,,,
,boiled it,,,,,sii-ler'sh,saa-ghit-ler'sh,,sii~-ler'sh,,su'-lersh,yvs-ler'sh,,xee-yvs-ler'sh,,,
,is boiled,,,,,,,,,,,,,,k'vt-ler'sh,,
,was born,birth (nursh-nin-lhtin'),,"XX-nursh-nin-lhtin' (""[person's] birth"")",,,,,,,,,,,,,
,bought,,,,,'aa-wii-xayt,'aa-wit-xayt,,'aa-win-xayt,,'aa-ghwu'-xayt,yaa-win-xayt,,xee-yaa-win-xayt,,,
,bragged,talked,,lhtin'-day-wee,,,,,,,,,,,,,
,breathed,,,,,tee-svst-yer'sh,tee-sit-yer'sh,,tee-sint-yer'sh,,tee-sut-yer'sh,test-yer'sh,,xwii-test-yer'sh,,,
,"broke eggs, shells, etc.",,,,,silh-ch'vlh,saa-ghitlh-ch'vlh,,sintlh-ch'vlh,,sutlh-ch'vlh,yvstlh-ch'vlh,,xee-yvstlh-ch'vlh,,,
,broke (the action of breaking or the state of having no money),,,,,"did: k'wee-nii-srvt
am: k'wee-nvsht-srvt",both: k'wee-nit-srvt,,both: k'wee-nin-srvt,,both: k'wee-nu'-srvt,both: k'wee-nee-srvt,,both: xwii-k'wee-nee-srvt,is: k'wintlh-srvt,,
